alert_date,alert__year,alert__week,confidence__cat,alert__count,month,year_month
2019-06-03,2019,23,h,1,6,2019-06
2019-06-10,2019,24,h,2,6,2019-06
2019-06-24,2019,26,h,1,6,2019-06
2019-07-01,2019,27,h,1,7,2019-07
2019-07-08,2019,28,h,8,7,2019-07
2019-07-15,2019,29,h,6,7,2019-07
2019-07-22,2019,30,h,4,7,2019-07
2019-07-29,2019,31,h,42,7,2019-07
2019-08-05,2019,32,h,29,8,2019-08
2019-08-12,2019,33,h,5,8,2019-08
2019-08-19,2019,34,h,11,8,2019-08
2019-08-26,2019,35,h,4,8,2019-08
2019-09-02,2019,36,h,36,9,2019-09
2019-09-09,2019,37,h,4,9,2019-09
2019-09-16,2019,38,h,24,9,2019-09
2019-09-23,2019,39,h,7,9,2019-09
2019-09-30,2019,40,h,5,9,2019-09
2019-10-07,2019,41,h,2,10,2019-10
2019-10-14,2019,42,h,3,10,2019-10
2019-10-28,2019,44,h,1,10,2019-10
2019-11-04,2019,45,h,2,11,2019-11
2019-11-11,2019,46,h,4,11,2019-11
2019-11-18,2019,47,h,2,11,2019-11
2019-12-09,2019,50,h,2,12,2019-12
2019-12-16,2019,51,h,2,12,2019-12
2019-12-23,2019,52,h,4,12,2019-12
2019-12-30,2020,1,h,1,12,2019-12
2020-01-06,2020,2,h,2,1,2020-01
2020-01-13,2020,3,h,7,1,2020-01
2020-01-20,2020,4,h,12,1,2020-01
2020-01-27,2020,5,h,3,1,2020-01
2020-02-03,2020,6,h,5,2,2020-02
2020-02-10,2020,7,h,4,2,2020-02
2020-02-17,2020,8,h,6,2,2020-02
2020-02-24,2020,9,h,15,2,2020-02
2020-03-02,2020,10,h,2,3,2020-03
2020-03-09,2020,11,h,15,3,2020-03
2020-03-16,2020,12,h,15,3,2020-03
2020-03-23,2020,13,h,9,3,2020-03
2020-03-30,2020,14,h,14,3,2020-03
2020-04-06,2020,15,h,2,4,2020-04
2020-04-13,2020,16,h,20,4,2020-04
2020-04-20,2020,17,h,8,4,2020-04
2020-05-04,2020,19,h,1,5,2020-05
2020-05-11,2020,20,h,3,5,2020-05
2020-05-18,2020,21,h,1,5,2020-05
2020-05-25,2020,22,h,4,5,2020-05
2020-06-08,2020,24,h,1,6,2020-06
2020-07-13,2020,29,h,6,7,2020-07
2020-08-03,2020,32,h,9,8,2020-08
2020-08-10,2020,33,h,1,8,2020-08
2020-08-17,2020,34,h,4,8,2020-08
2020-08-24,2020,35,h,2,8,2020-08
2020-08-31,2020,36,h,1,8,2020-08
2020-09-21,2020,39,h,1,9,2020-09
2020-09-28,2020,40,h,1,9,2020-09
2020-10-19,2020,43,h,2,10,2020-10
2020-10-26,2020,44,h,1,10,2020-10
2020-11-09,2020,46,h,1,11,2020-11
2021-02-01,2021,5,h,1,2,2021-02
2021-02-08,2021,6,h,2,2,2021-02
2021-02-15,2021,7,h,3,2,2021-02
2021-02-22,2021,8,h,15,2,2021-02
2021-03-01,2021,9,h,9,3,2021-03
2021-03-08,2021,10,h,7,3,2021-03
2021-03-15,2021,11,h,1,3,2021-03
2021-03-29,2021,13,h,2,3,2021-03
2021-04-05,2021,14,h,1,4,2021-04
2021-04-19,2021,16,h,3,4,2021-04
2021-04-26,2021,17,h,2,4,2021-04
2021-06-21,2021,25,h,2,6,2021-06
2021-07-05,2021,27,h,2,7,2021-07
2021-07-19,2021,29,h,29,7,2021-07
2021-07-26,2021,30,h,10,7,2021-07
2021-08-02,2021,31,h,9,8,2021-08
2021-08-16,2021,33,h,1,8,2021-08
2021-09-06,2021,36,h,2,9,2021-09
2021-09-13,2021,37,h,10,9,2021-09
2021-10-04,2021,40,h,5,10,2021-10
2021-10-11,2021,41,h,4,10,2021-10
2021-10-25,2021,43,h,2,10,2021-10
2021-11-29,2021,48,h,5,11,2021-11
2022-01-10,2022,2,h,2,1,2022-01
2022-03-21,2022,12,h,1,3,2022-03
2022-04-18,2022,16,h,2,4,2022-04
2022-04-25,2022,17,h,1,4,2022-04
2022-05-16,2022,20,h,1,5,2022-05
2022-05-30,2022,22,h,1,5,2022-05
2022-06-27,2022,26,h,5,6,2022-06
2022-07-04,2022,27,h,1,7,2022-07
2022-07-18,2022,29,h,1,7,2022-07
2022-08-22,2022,34,h,3,8,2022-08
2022-09-19,2022,38,h,2,9,2022-09
2022-09-26,2022,39,h,6,9,2022-09
2022-10-10,2022,41,h,1,10,2022-10
2022-11-21,2022,47,h,1,11,2022-11
2022-11-28,2022,48,h,2,11,2022-11
2023-01-09,2023,2,h,1,1,2023-01
2023-01-16,2023,3,h,1,1,2023-01
2023-03-06,2023,10,h,3,3,2023-03
2023-03-13,2023,11,h,3,3,2023-03
2023-03-27,2023,13,h,2,3,2023-03
2023-04-03,2023,14,h,3,4,2023-04
2023-04-10,2023,15,h,11,4,2023-04
2023-04-17,2023,16,h,6,4,2023-04
2023-04-24,2023,17,h,1,4,2023-04
2023-05-08,2023,19,h,2,5,2023-05
2023-05-15,2023,20,h,1,5,2023-05
2023-05-22,2023,21,h,3,5,2023-05
2023-05-29,2023,22,h,2,5,2023-05
2023-06-12,2023,24,h,1,6,2023-06
2023-06-19,2023,25,h,1,6,2023-06
2023-06-26,2023,26,h,1,6,2023-06
2023-07-03,2023,27,h,1,7,2023-07
2023-07-24,2023,30,h,7,7,2023-07
2023-07-31,2023,31,h,36,7,2023-07
2023-08-07,2023,32,h,1,8,2023-08
2023-08-14,2023,33,h,2,8,2023-08
2023-08-21,2023,34,h,4,8,2023-08
2023-08-28,2023,35,h,5,8,2023-08
2023-09-11,2023,37,h,2,9,2023-09
2023-09-25,2023,39,h,2,9,2023-09
2023-10-02,2023,40,h,5,10,2023-10
2023-10-09,2023,41,h,3,10,2023-10
2023-10-23,2023,43,h,4,10,2023-10
2023-11-13,2023,46,h,2,11,2023-11
2023-12-25,2023,52,h,2,12,2023-12
2024-01-29,2024,5,h,4,1,2024-01
2024-02-05,2024,6,h,4,2,2024-02
2024-02-12,2024,7,h,3,2,2024-02
2024-02-19,2024,8,h,8,2,2024-02
2024-03-04,2024,10,h,3,3,2024-03
2024-03-11,2024,11,h,7,3,2024-03
