,date,state,area,year
242,2018-01-01,Kelantan,613275.0,2018
243,2018-01-01,Melaka,5199.0,2018
244,2018-01-01,Negeri Sembilan,155549.0,2018
245,2018-01-01,Pahang,1559385.0,2018
246,2018-01-01,Perak,988914.0,2018
247,2018-01-01,Perlis,10615.0,2018
248,2018-01-01,Pulau Pinang,5101.0,2018
249,2018-01-01,Sabah,3540749.0,2018
250,2018-01-01,Sarawak,4209053.0,2018
251,2018-01-01,Selangor,250210.0,2018
252,2018-01-01,Terengganu,540309.0,2018
253,2018-01-01,Kuala Lumpur,68.0,2018
254,2018-01-01,Labuan,0.0,2018
255,2018-01-01,Putrajaya,0.0,2018
256,2019-01-01,Johor,334292.0,2019
257,2019-01-01,Kedah,341976.0,2019
258,2019-01-01,Kelantan,629775.0,2019
259,2019-01-01,Melaka,5199.0,2019
260,2019-01-01,Negeri Sembilan,155492.0,2019
261,2019-01-01,Pahang,1550687.0,2019
262,2019-01-01,Perak,988591.0,2019
263,2019-01-01,Perlis,10628.0,2019
264,2019-01-01,Pulau Pinang,5101.0,2019
265,2019-01-01,Sabah,3541266.0,2019
266,2019-01-01,Sarawak,3964880.0,2019
267,2019-01-01,Selangor,250208.0,2019
268,2019-01-01,Terengganu,540309.0,2019
269,2019-01-01,Kuala Lumpur,68.0,2019
270,2019-01-01,Labuan,0.0,2019
271,2019-01-01,Putrajaya,0.0,2019
272,2020-01-01,Johor,334292.0,2020
273,2020-01-01,Kedah,341976.0,2020
274,2020-01-01,Kelantan,629881.0,2020
275,2020-01-01,Melaka,5199.0,2020
276,2020-01-01,Negeri Sembilan,155143.0,2020
277,2020-01-01,Pahang,1545610.0,2020
278,2020-01-01,Perak,987632.0,2020
279,2020-01-01,Perlis,10629.0,2020
280,2020-01-01,Pulau Pinang,5387.0,2020
281,2020-01-01,Sabah,3574468.0,2020
282,2020-01-01,Sarawak,3964880.0,2020
283,2020-01-01,Selangor,250208.0,2020
284,2020-01-01,Terengganu,540309.0,2020
285,2020-01-01,Kuala Lumpur,68.0,2020
286,2020-01-01,Labuan,0.0,2020
287,2020-01-01,Putrajaya,0.0,2020
288,2021-01-01,Johor,334502.0,2021
289,2021-01-01,Kedah,341976.0,2021
290,2021-01-01,Kelantan,629881.0,2021
291,2021-01-01,Melaka,5199.0,2021
292,2021-01-01,Negeri Sembilan,155143.0,2021
293,2021-01-01,Pahang,1588298.0,2021
294,2021-01-01,Perak,986848.0,2021
295,2021-01-01,Perlis,10629.0,2021
296,2021-01-01,Pulau Pinang,5387.0,2021
297,2021-01-01,Sabah,3574468.0,2021
298,2021-01-01,Sarawak,3964880.0,2021
299,2021-01-01,Selangor,250208.0,2021
300,2021-01-01,Terengganu,540309.0,2021
301,2021-01-01,Kuala Lumpur,68.0,2021
302,2021-01-01,Labuan,0.0,2021
303,2021-01-01,Putrajaya,0.0,2021
