"iso","alert__year","alert__week","alert__count","confidence__cat"
"MYS",2020,32,9,"h"
"MYS",2020,33,1,"h"
"MYS",2020,34,4,"h"
"MYS",2020,35,2,"h"
"MYS",2020,36,1,"h"
"MYS",2020,39,1,"h"
"MYS",2020,40,1,"h"
"MYS",2020,43,2,"h"
"MYS",2020,44,1,"h"
"MYS",2020,46,1,"h"
"MYS",2021,5,1,"h"
"MYS",2021,6,2,"h"
"MYS",2021,7,3,"h"
"MYS",2021,8,15,"h"
"MYS",2021,9,9,"h"
"MYS",2021,10,7,"h"
"MYS",2021,11,1,"h"
"MYS",2021,13,2,"h"
"MYS",2021,14,1,"h"
"MYS",2021,16,3,"h"
"MYS",2021,17,2,"h"
"MYS",2021,25,2,"h"
"MYS",2021,27,2,"h"
"MYS",2021,29,29,"h"
"MYS",2021,30,10,"h"
"MYS",2021,31,9,"h"
"MYS",2021,33,1,"h"
"MYS",2021,36,2,"h"
"MYS",2021,37,10,"h"
"MYS",2021,40,5,"h"
"MYS",2021,41,4,"h"
"MYS",2021,43,2,"h"
"MYS",2021,48,5,"h"
"MYS",2022,2,2,"h"
"MYS",2022,12,1,"h"
"MYS",2022,16,2,"h"
"MYS",2022,17,1,"h"
"MYS",2022,20,1,"h"
"MYS",2022,22,1,"h"
"MYS",2022,26,5,"h"
"MYS",2022,27,1,"h"
"MYS",2022,29,1,"h"
"MYS",2022,34,3,"h"
"MYS",2022,38,2,"h"
"MYS",2022,39,6,"h"
"MYS",2022,41,1,"h"
"MYS",2022,47,1,"h"
"MYS",2022,48,2,"h"
"MYS",2023,2,1,"h"
"MYS",2023,3,1,"h"
"MYS",2023,10,3,"h"
"MYS",2023,11,3,"h"
"MYS",2023,13,2,"h"
"MYS",2023,14,3,"h"
"MYS",2023,15,11,"h"
"MYS",2023,16,6,"h"
"MYS",2023,17,1,"h"
"MYS",2023,19,2,"h"
"MYS",2023,20,1,"h"
"MYS",2023,21,3,"h"
"MYS",2023,22,2,"h"
"MYS",2023,24,1,"h"
"MYS",2023,25,1,"h"
"MYS",2023,26,1,"h"
"MYS",2023,27,1,"h"
"MYS",2023,30,7,"h"
"MYS",2023,31,36,"h"
"MYS",2023,32,1,"h"
"MYS",2023,33,2,"h"
"MYS",2023,34,4,"h"
"MYS",2023,35,5,"h"
"MYS",2023,37,2,"h"
"MYS",2023,39,2,"h"
"MYS",2023,40,5,"h"
"MYS",2023,41,3,"h"
"MYS",2023,43,4,"h"
"MYS",2023,46,2,"h"
"MYS",2023,52,2,"h"
"MYS",2024,5,4,"h"
"MYS",2024,6,4,"h"
"MYS",2024,7,3,"h"
"MYS",2024,8,8,"h"
"MYS",2024,10,3,"h"
"MYS",2024,11,7,"h"
"MYS",2024,12,10,"h"
"MYS",2024,13,20,"h"
"MYS",2024,14,21,"h"
"MYS",2024,15,9,"h"
"MYS",2024,16,1,"h"
"MYS",2024,17,8,"h"
"MYS",2024,18,1,"h"
"MYS",2024,19,21,"h"
"MYS",2024,20,3,"h"
"MYS",2024,21,2,"h"
"MYS",2024,22,1,"h"
"MYS",2024,23,3,"h"
"MYS",2024,24,5,"h"
"MYS",2024,26,4,"h"
"MYS",2024,32,2,"h"
"MYS",2024,33,11,"h"
"MYS",2024,34,4,"h"
"MYS",2024,35,3,"h"
"MYS",2024,36,11,"h"
"MYS",2024,37,5,"h"
"MYS",2024,38,1,"h"
"MYS",2024,43,4,"h"
"MYS",2024,44,3,"h"
"MYS",2025,1,1,"h"
"MYS",2025,7,3,"h"
"MYS",2025,8,2,"h"
"MYS",2025,9,2,"h"
"MYS",2025,10,1,"h"
"MYS",2025,12,5,"h"
"MYS",2025,13,1,"h"
"MYS",2025,14,1,"h"
"MYS",2025,16,1,"h"
"MYS",2025,18,1,"h"
"MYS",2025,19,1,"h"
"MYS",2025,20,4,"h"
"MYS",2025,21,4,"h"
"MYS",2025,24,11,"h"
"MYS",2025,25,1,"h"
"MYS",2025,26,3,"h"
"MYS",2025,28,1,"h"
"MYS",2025,29,8,"h"
"MYS",2025,30,21,"h"
"MYS",2025,31,27,"h"
"MYS",2025,32,1,"h"
"MYS",2025,33,2,"h"
"MYS",2025,35,4,"h"
"MYS",2025,38,4,"h"
"MYS",2025,39,9,"h"
"MYS",2025,40,1,"h"
"MYS",2025,41,1,"h"
